Type,id
Requirement,"01.05 Dealer payment phone verification: if the payment is paid by dealer, user will do a phone check and input the check result. A reminder for remind the check  by the system is expected. Receipt allocation details and payment record are saved in CMS"
Requirement,"01.06 Overdue customer phone collection, if the contract is overdue, user will do phone collection"
Requirement,01.07 User can input field collection log
ApplicationComponent,018390_TIM
ApplicationComponent,018747_1C Homnet
ApplicationComponent,018749_ACG
ApplicationComponent,019135_VFS Americas Artiva
ApplicationComponent,019137_VFS Americas ABS Suite
ApplicationComponent,019141_CTOBB
ApplicationComponent,019145_VFS Americas Business Objects NA
ApplicationComponent,019146_BO-InfoView NW
ApplicationComponent,019147_CTCETIP
ApplicationComponent,019148_Charisma Romania
ApplicationComponent,019149_VFS Americas CIC (Phone System)
ApplicationComponent,019152_CoreView
ApplicationComponent,019153_CPBI
ApplicationComponent,019154_CAM - Credit Application Manager
ApplicationComponent,019161_VFS Americas Customer Portal
ApplicationComponent,019162_DATASTGE
ApplicationComponent,019164_VFS Americas Dealer Directory
ApplicationComponent,019165_Dealer Portal
ApplicationComponent,019168_VFS Americas Great Plains
ApplicationComponent,019170_VFS Americas Ecounsel
ApplicationComponent,019172_eTrafic
ApplicationComponent,019174_VFS Americas CreditPath
ApplicationComponent,019175_Fast Developers
ApplicationComponent,019176_FCA - Contract Admin
ApplicationComponent,019178_File On Q
ApplicationComponent,019179_LeaseFlex
ApplicationComponent,019182_VFS Americas FootPrints
ApplicationComponent,019186_VFS Americas Hyland Onbase
ApplicationComponent,019187_VFS Americas Hyperion
ApplicationComponent,019188_VFS Americas InfoLease
ApplicationComponent,019189_VFS Americas InSource
ApplicationComponent,019193_VFS Americas IT2
ApplicationComponent,019195_VFS Americas Ivantage
ApplicationComponent,019198_KPI
ApplicationComponent,019202_LEO
ApplicationComponent,019204_VFS AUS LLAS
ApplicationComponent,019207_VFS MODULO - Risk Manager
ApplicationComponent,019208_VFS Americas MVPreferred - NA
ApplicationComponent,019214_OpenLease
ApplicationComponent,019216_PARABAN
ApplicationComponent,019220_CTCPJVFS
ApplicationComponent,019222_VFS Connect
ApplicationComponent,019223_VFS Americas Pyramid
ApplicationComponent,019226_VFS Americas Risk Analyst
ApplicationComponent,019229_SAS - NA
ApplicationComponent,019232_SEFIN
ApplicationComponent,019233_SIEL
ApplicationComponent,019234_CTSIENS
ApplicationComponent,019235_Quiver
ApplicationComponent,019237_Evolan
ApplicationComponent,019238_Statement Factory
ApplicationComponent,019240_SuperOffice
ApplicationComponent,019241_VFS Americas SuperTrump
ApplicationComponent,019243_Synapse
ApplicationComponent,019244_VFS Americas TAM
ApplicationComponent,019248_VFS Americas TransACTION
ApplicationComponent,019251_Tvalue
ApplicationComponent,019252_TX System
ApplicationComponent,019254_CTUNISISTEMAS
ApplicationComponent,019256_Vienna
ApplicationComponent,019259_CLVIEW - ALL CHILE
ApplicationComponent,019260_CTCNTRT - Contrat
ApplicationComponent,019261_CTCNTRL
ApplicationComponent,019262_CTFloorPlan
ApplicationComponent,019263_CTGESCOB
ApplicationComponent,019264_CTGESFIN
ApplicationComponent,019269_VFS AUS WAS
Outcome,02 Browsing Around
ValueStream,02 Contracts and Licensing
Driver,02 Credit Bureau
ValueStream,02 Engage Auditors
Requirement,02 Field Visit
ValueStream,02 Manage Inventory
Requirement,02 Payment plan and interest posting
BusinessProcess,02 Quick Data Entry (QDE) - India
ValueStream,02 Quick Rate Quote
BusinessProcess,02 Risk Assessment - Information Gathering
BusinessProcess,02 Transfer Customer EIN and Onboarding Info in RBA Module
Goal,02 What's Going On?
ValueStream,02 Wholesale Finance Products
Requirement,"02.01 FC send their weekly field collection plan to collection manager for review, after confirmation, FC will do field collection. (FC to be able to plan their work for coming week by selecting customer contract, collection manager approve.)"
BusinessProcess,02.01 Quote Request
BusinessProcess,02.02 Create Quote
Requirement,"02.02 FC can input field collection report, collection manager review the field collection report."
Requirement,02.03 Mobile solution is expected to upload pics and report.
BusinessProcess,02.03 Pricing Quote
BusinessProcess,02.04 Receive Quote
BusinessProcess,02.05 Protect Customer Financial Data
BusinessProcess,02.06 Verify Customer Information
BusinessProcess,02.07 Obtain Additional Information
ApplicationComponent,021129_VFSMD
ApplicationComponent,025271_Report Center
ApplicationComponent,025273_Interbank Lending CNY
ApplicationComponent,025274_CBRC-Doc Handling System
ApplicationComponent,025275_CBRC-Reporting System
ApplicationComponent,025276_PBOC-CCR
ApplicationComponent,025277_PBOC-AML
ApplicationComponent,025281_Auto Invoicing System
ApplicationComponent,028792_CTCREDRSK - Credit Risk Pack
ApplicationComponent,029334_Longtop Leasing Disclosure
ApplicationComponent,029335_Longtop CIS Database
Requirement,03 Communication (Dealer)
ValueStream,03 Complete Loan Application
ValueStream,03 Conduct the Audit
BusinessProcess,03 Detailed Data Entry (DDE) - India
Driver,03 FinScan Check
ValueStream,03 Insurance Products
Outcome,03 Interest in Buying / Financing and Asset
ValueStream,03 Manufacture Susassemblies
ValueStream,03 Provisioning
BusinessProcess,03 Risk Assessment - Underwriting
Requirement,03 Split bill to VTC and Dealer
BusinessProcess,03 Store Information in VFS DWH
Goal,03 What suits my needs? What can I afford?
BusinessProcess,03.01 Comprehensive Analysis on Credit Application
Requirement,"03.01 Send various documents/emails to dealer manually to be generated: Statement of account report, show all the money paid record from dealer."
BusinessProcess,03.02 Divert Applications for Credit Decision
Requirement,"03.02 Send various documents/emails to dealer manually to be generated: resource of payment(来款来源证明), deposit confirmation letter, repossession authority letter"
BusinessProcess,03.03 Authorization to Change Score Card Parameters
Requirement,03.03 Send various documents/emails to dealer manually to be generated: rent acceleration due notice （租金加速到期通知书）
BusinessProcess,03.04 Approval/Reject Credit Request
Requirement,03.04 Send various documents/emails to dealer manually to be generated: risk reminder (风险提示函)
Requirement,"03.05 Dealer portal, dealer can view the reports from the system."
BusinessProcess,03.05 Establish Local Credit Committee
BusinessProcess,03.06 Approve Individual Credit Authorities
BusinessProcess,03.07 Back Test Credit Decisions
BusinessProcess,03.08 Record Customer Credit Approval
BusinessProcess,03.09 Deliver to the Dealer / VFS Sales / Operation an Approval / Rejection Letter
BusinessProcess,03.10 Segment Analysis
ApplicationComponent,030064_Serasa
ApplicationComponent,031698_VFS Americas WFS
ApplicationComponent,032286_FinanceFlex
ApplicationComponent,032290_VFS Americas Rapport
ApplicationComponent,033792_PBOC T+1 Individual
ApplicationComponent,035189_Viewpoint v2
ApplicationComponent,036289_Integration Manager
ApplicationComponent,036291_VFS Americas Data Warehouse
ApplicationComponent,036292_Sage Software
ApplicationComponent,036296_VFS Americas Salesforce
ApplicationComponent,037469_VGIP_GEBIS
ApplicationComponent,037785_PM APAC (AFC)
ApplicationComponent,038236_CTJDPOS - VFS Positive File - Active
ApplicationComponent,039340_Initiations Database
ApplicationComponent,039388_DWH Nordics-VFSI
ApplicationComponent,039389_MS Rep. Nordics - VFSI
ApplicationComponent,039391_Data Warehouse NW
ApplicationComponent,039498_Atmosfera
ApplicationComponent,039501_Atori
ApplicationComponent,039897_1S ErnstYoung
ApplicationComponent,039922_Adramatch Nordic
ValueStream,04 Additional Products & Services
ValueStream,04 Address Issues
ValueStream,04 Assemble Final Product
Requirement,04 Batch receipt handling
Goal,04 Can You Meet My Need?
BusinessProcess,04 Contract Initiation - Preparing Contract
ValueStream,04 Customer Care
ValueStream,04 Eligibility Decision and Underwriting
Outcome,04 Interact with Dealer / VFS to Initiate Discussion
Driver,04 Profile Check
Requirement,04 Quotation
BusinessProcess,04 Sales Pre-Underwritting (Pre UW) - India
BusinessProcess,"04 UBO Check via UBO Register, Credit Bureau or D&B with Selection Criteria"
BusinessProcess,04.01 Approve Credit Application Submission
Requirement,04.01 Customer Early Termination (no auto quotation) on request
Requirement,"04.02 Dealer/VCE buy back ET quotation (ET amount include overdue pricipal, AR interest, ODI, Charge, Ownership Fee), to be automatically generated."
BusinessProcess,04.02 Dispatch the Documents
Requirement,"04.03 Dealer/VCE purchase, according FMV(Fair Market Value) to generate the ET quotation,to be automatically generated."
BusinessProcess,04.03 Receipt of Original Documents
BusinessProcess,04.04 Approve Contract Template
BusinessProcess,04.05 Verify Contract Information
BusinessProcess,04.06 Verify Title Information
BusinessProcess,04.07 Approve Contract Documents
BusinessProcess,04.08 Contract Draft
ApplicationComponent,040353_CTSIENSAOL
ApplicationComponent,041639_Invoicing VFS Nordic
ApplicationComponent,042031_Concur
ApplicationComponent,042718_CTMIU
ApplicationComponent,042764_Self Billers
ApplicationComponent,042767_VFS NW Homepage
ApplicationComponent,042768_VFS NW IT Call Log
ApplicationComponent,042937_CC Extensions Upload
ApplicationComponent,042943_RFL - Road Fund License
ApplicationComponent,042946_Terminations SS
ApplicationComponent,042950_TSA Uploads
ApplicationComponent,042951_Wholesale Converter
ApplicationComponent,043636_Volvo Group Public Internet Platform (PIP)
ApplicationComponent,043958_CTPORTALNEWPAGE
ApplicationComponent,044361_CTCONTROLWEB
ApplicationComponent,044843_Japan Lease Vision CMS
ApplicationComponent,046223_VFS Americas Finasist
ApplicationComponent,046480_VFS DCS
ApplicationComponent,046861_India VFSOne CMS
ApplicationComponent,048786_Analytics Database
Requirement,05 Batch ET and Pay out
ValueStream,05 Capital Markets - Syndication
BusinessProcess,05 Contract Initiation - Activating Contract
Goal,05 Expertise & Transparency
ValueStream,05 Extend Loan Terms
Driver,05 History Check
ValueStream,05 Renewals
Requirement,05 Restructure
BusinessProcess,05 Retrieve UBOs on File from External UBO Register
ValueStream,05 Revise Financials
Outcome,05 Sit Down to Discuss Offer and Financing
ValueStream,05 Validate Product
BusinessProcess,05.01 Activating Contract and Funding
Requirement,"05.01 FC/CSO can generate resturcture caculation, so they can inform customer the correct resturcture information, if customer agree, then FC/CSO can upload GPS info screen shot, payment record, input apply forms and input comments,  then send this resturcture request to manager for approval, then manager can get a reminder for review and approve, after manager approval, manager send request to RISK, RISK approved,  then FC/CSO can get a reminder too, FC/CSO contact customer for collecting money and aggreement, then FC/CSO inform operation officer to do resturcture in CMS. Such work flow is expected to be handled by system"
BusinessProcess,05.01.01 Input Contract Information
BusinessProcess,05.01.02 Approve Contract Activation
BusinessProcess,05.01.03 Approve Funding
BusinessProcess,05.01.04 Funding
BusinessProcess,05.01.05 Signature of the Contract by VFS
BusinessProcess,05.01.06 Sending Documents
BusinessProcess,05.02 Verify Insurance Information and Insurance Renewal
BusinessProcess,05.02.01 Input Insurance Information
BusinessProcess,05.02.02 Apply for being Insured
BusinessProcess,05.02.03 Verify Insurance Information
BusinessProcess,05.02.04 File Orginal Insurance Policy
BusinessProcess,05.02.05 Insurance Renewal Management
ApplicationComponent,050562_Invoicing Solution
ApplicationComponent,051810_AUTBANK
ApplicationComponent,054685_KHR Reporting Tool
ApplicationComponent,054959_Customer Service Desk Romania
ApplicationComponent,054993_BRCRK
ApplicationComponent,056585_DemandTool
ApplicationComponent,057227_India VFSOne LOS
ApplicationComponent,058045_VFS Navision China
ApplicationComponent,058204_DTT - Document Tracking Tool
ApplicationComponent,058205_Evolan-CR
ApplicationComponent,059546_VFS Bank Broker
ApplicationComponent,059560_VFS Americas QlikView
ValueStream,06 Audit Letter
ValueStream,06 Award Loan
BusinessProcess,06 Funding & Syndication
BusinessProcess,06 Get List of UBOs into UBO Module
Goal,06 Getting the Right Deal
ValueStream,06 Package and Ship
ValueStream,06 Parts & Services Financing (NATS)
Outcome,06 Receive Finance Quote
Driver,06 Repayment Check
Requirement,06 Reports regarding interest and ODI
Requirement,06 Write Off
BusinessProcess,06.01 Submitting OPAC Form
Requirement,"06.01 Tracks and non-recource CE contracts which are overdue 180 days, CSO can input/edit the estimate write off amount and  generate the write off report. CSO will send the write off to account, and do monthly reconcile with account. User estimate the write off amount according to how much overdue amount left, how much can be collected in future, degree of adaptability and etc. (write off amount report. Previous write off amount should be able to see.)"
BusinessProcess,06.02 Finance Performing Netting Process
Requirement,"06.02 Write off for repossession/remarketing asset:User estimate the write off based on the evaluated market price and remaining over due amount, user can input/edit the write off amount,  then user can generate the write off amount and send to account. User do monthly reconcile with account."
BusinessProcess,06.03 Netting Result Review and Approval
BusinessProcess,06.04 Generating AP Proposal
BusinessProcess,06.05 Funding Approval
BusinessProcess,06.06 Direct Debit Clearing
BusinessProcess,06.07 Receive Clearing Email from Collection
BusinessProcess,06.08 UAC List Sent from Finance
BusinessProcess,06.09 Remittance Clearing
ApplicationComponent,060047_E-Financeira
ApplicationComponent,060215_Charisma EMEA
ApplicationComponent,060480_AccessPay
ApplicationComponent,060562_VFS Redmine
ApplicationComponent,060898_CLCRK
ApplicationComponent,061729_LeaseSoft
ApplicationComponent,062316_VFS Asset Evaluation
ApplicationComponent,062317_VFS Americas Rate App
ApplicationComponent,062900_DMO
ApplicationComponent,063127_Finscan Brazil
ApplicationComponent,063182_Deficiency DB
ApplicationComponent,063183_VFS Americas Funding Services
ApplicationComponent,063186_VFS Dealer Business Support
ApplicationComponent,063443_APAC DWH
ApplicationComponent,063444_NAV VFS EMEA
ApplicationComponent,063952_ACE
ApplicationComponent,063977_FINNET FAST CLIENTE
ApplicationComponent,063986_Bancen STA
ApplicationComponent,063987_COAF
ApplicationComponent,063988_CWB Town Hall
ApplicationComponent,063989_Market Agencies
ApplicationComponent,063990_BANKS - Syndication/Collection Bank Partners
ApplicationComponent,064002_Correios
ApplicationComponent,065467_VFS Americas Navision
ApplicationComponent,065513_VFS CreditSafe
ApplicationComponent,066738_VFS Credit Navigator
Driver,07 Asset Deployment Analysis
ValueStream,07 Board Signoff
ValueStream,07 Consortium
BusinessProcess,07 Contract Administration - Invoicing & Payment
Goal,07 Hassle Free
Outcome,07 Provide Credit Check Information
Requirement,07 Repossession
ValueStream,07 Setup Payment Terms
BusinessProcess,07 Using List of UBOs and Sanction Criteria in Screening Module
Requirement,07.01 User expect the system can generate reminder when contract status has turned to repossession for 25 days. (System need have Repo report automatically everyday)
BusinessProcess,07.01 Verify / Approve / Executed Contract Modification
BusinessProcess,07.01.01 Collect Credit Change Application
BusinessProcess,07.01.02 Credit Review and Approval
BusinessProcess,07.01.03 Dispatch the Documents
BusinessProcess,07.01.04 Approve Documentation
BusinessProcess,07.01.05 Modify Data
BusinessProcess,07.01.06 Invoice Modification Fee
BusinessProcess,07.01.07 Modification Executed
BusinessProcess,07.01.08 Sign Modification by VFS
BusinessProcess,07.01.09 Send Documents Back
BusinessProcess,07.01.10 Scan Contract
BusinessProcess,07.01.11 Contract Modification
BusinessProcess,07.01.12 Approve Modification
Requirement,07.02 User can generate redemption letter from system manually.
Requirement,07.03 User can upload pictures/documents/communication emails
ApplicationComponent,072424_VFS China CSG
ApplicationComponent,073029_VFS Navision
ApplicationComponent,076720_Finscan AFC
ApplicationComponent,076774_CCX - China ChengXin
ApplicationComponent,076782_SDZB - Transino
ApplicationComponent,077172_Spring
ApplicationComponent,077543_Finscan EMEA
ApplicationComponent,077564_VFS CallCredit
ApplicationComponent,077793_FlexiCapture
ApplicationComponent,078530_VFS Americas Reporting Tool
ApplicationComponent,078815_Parts and Services Financing
ApplicationComponent,078889_OpusCapita Invoicing
ValueStream,08 Collections & Recoveries
BusinessProcess,08 Contract Administration - Collection & Debt Recovery
Driver,08 Financial Analysis
Requirement,08 Inventory Audit
Outcome,08 Receive Credit Decision
ValueStream,08 Repay Money
BusinessProcess,08 Sanction List Screening in FinScan
Goal,08 Speed & Transparency
Requirement,"08.01 Details are shared in sheet ""Audit Requirement"""
BusinessProcess,08.01 Phone Collection
BusinessProcess,08.01.01 CMS Adjusts Delinquency Status for Each Contract
BusinessProcess,08.01.02 Prepare Daily Delinquency Call
BusinessProcess,08.01.03 Collection Calls and Activities
BusinessProcess,08.01.03.01 T+1 Collection Call
BusinessProcess,08.01.03.02 T+30 Collection Call
BusinessProcess,08.01.03.03 T+60 Collection Call
BusinessProcess,08.01.04 Document Collection Efforts in CMS
BusinessProcess,08.01.05 Review Contract Collection Call Efforts
BusinessProcess,08.01.06 Customer Issued Payment - Sources & Receipt
BusinessProcess,08.01.07 Dealer/VCE Cure Payment (once customer fail to pay on DPD 90 or greater)
BusinessProcess,08.01.08 Approval for Penalty Waiver Amounts
BusinessProcess,08.01.09 Contract Carries Forward
BusinessProcess,08.01.10 Ensuing Measures
BusinessProcess,08.02 Field Collection
BusinessProcess,08.02.01 Prepare & Prioritize Work Queue & Tasks
BusinessProcess,08.02.02 Review FC Prioritized Work Queue & Tasks
BusinessProcess,"08.02.03 Field Collection Activities, Visits and Tasks"
BusinessProcess,08.02.03.01 T+30 Visits & Calls
BusinessProcess,08.02.03.02 T+60 Visits & Calls
BusinessProcess,08.02.03.03 T+90 Visits & Calls
BusinessProcess,08.02.04 FC Collection Reports & Call Results to DCS
BusinessProcess,08.02.05 Document Collection Efforts in System (CMS)
BusinessProcess,08.02.06 Reviews Field Collection Efforts
BusinessProcess,08.02.07 Ensuing Measures
BusinessProcess,08.03 Debt Recovery
BusinessProcess,08.03.01 Prepare Weekly Work List
BusinessProcess,08.03.02 T+120 Collection Calls and Activities
BusinessProcess,08.03.03 Document Collection Efforts in System
BusinessProcess,08.03.04 Customer Issued Payment
BusinessProcess,08.03.05 Contract Carries Forward
BusinessProcess,08.03.06 Ensuring Measures
BusinessProcess,08.03.07 Review and Approve Write-Off
BusinessProcess,08.03.08 Document Write-Off Approval Decision in CMS and Forward Request to Operations Departments for Disposition
ApplicationComponent,081019_VFS Navision Korea
ApplicationComponent,081020_VFS Korea iFIS-Origination
ApplicationComponent,081021_VFS Korea iFIS-CAM
ApplicationComponent,081082_Volvo Connect
ApplicationComponent,081265_Qualtrics
ApplicationComponent,081945_ABS System
ApplicationComponent,082497_VFS DBB (Data Backbone)
ApplicationComponent,082601_Loan Management System
ApplicationComponent,084620_VFS Americas Chrome River
ApplicationComponent,084631_VFS Korea MakeBill
ApplicationComponent,084632_VFS Korea NICE
ApplicationComponent,084633_VFS Korea K-Credit
ApplicationComponent,084634_VFS Korea KFTC
ApplicationComponent,084635_VFS Korea BNP Pariba
ApplicationComponent,084636_VFS Korea Finscan
ApplicationComponent,084637_VFS Korea ImagingSystem
ApplicationComponent,084638_VFS Korea VRS
ApplicationComponent,084639_VFS Korea SkyMNet
ApplicationComponent,088985_AGS Customer Portal
ApplicationComponent,089491_VFS Bisnode
Driver,09 Bank Statement Analysis
ValueStream,09 Close Loan
BusinessProcess,09 Contract End and Asset Management
ValueStream,09 Customer Experience
BusinessProcess,09 Get Sanction Screening Result from Finscan
Goal,09 Hassle Free
Requirement,09 Remarketing
Outcome,09 Sign Finance Contract
BusinessProcess,09.01 Contract Early Termination Quotation
Requirement,"09.01 User can input and generate forms: AR to inventory, Inventory application, Inventory to sold, Workflow need to be managed, such as requester raise request , approver receive reminder for approval, after approver approved, requester can also get reminder. ) (AR to inventory->approver-->Inventory application->approve->inventory to sold->approve)"
BusinessProcess,09.01.01 Customer Request for Early Termination
BusinessProcess,09.01.02 Dealer Acknowledgment of the Customer Early Termination Request
BusinessProcess,09.01.03 Receivers Completed Request and Documents in CMS
BusinessProcess,09.01.04 Obtain Legal and Compliance Department Approval
BusinessProcess,09.01.05 Prepare & Document Early Buyout Quotation in CMS
BusinessProcess,09.01.06 Send Early Termination Quotation to Customer
BusinessProcess,09.01.07 Approval for Waiver of Amounts in an ET Quotation
BusinessProcess,09.01.08 Check Legal Documents
BusinessProcess,09.01.09 Close Contract
BusinessProcess,09.01.10 Releasing Title Documents
BusinessProcess,09.01.11 Deposit Reconciliation
BusinessProcess,09.01.12 Deposits Refund
BusinessProcess,09.01.13 Scan Contract
BusinessProcess,09.01.14 Prepares Early Termination Agreement
BusinessProcess,09.01.15 Contract Carries Forward
BusinessProcess,09.02 Contract Regular Termination
ApplicationComponent,095300_VFS China E-Invoice
ApplicationComponent,095696_VFS Americas SAC-F
ApplicationComponent,096036_CCR - Ireland
ApplicationComponent,096202_Denodo
ApplicationComponent,096371_Document Capture Application
ApplicationComponent,096434_Profisee
ApplicationComponent,096836_Volvo Pay
ApplicationComponent,096836_Volvo Pay - End Customer Facing
ApplicationComponent,096836_Volvo Pay - Merchant Facing
ApplicationComponent,096970_Service Connect - VFS EMEA
ApplicationComponent,097464_VFS Finscan APAC
ApplicationComponent,097741_IS NOVA
ApplicationComponent,098042_Azure AD
ApplicationComponent,098054_HiPath3000
ApplicationComponent,098738_VFS Korea CMI
ApplicationComponent,099858_VFS HPI
ApplicationComponent,099962_Insure
ApplicationComponent,099974_Webdox
BusinessProcess,1 Service Product Definition
BusinessProcess,1. Australia Sales Process
BusinessProcess,1. BA-wise Business Forecasting - India
BusinessProcess,1. Collection of Sales Data - India
Principle,1. Conformity of Standards
BusinessProcess,1. Create Customer Finance Quote with RBA
BusinessProcess,1. Customer Request - India
BusinessProcess,1. Dealer Equipment Order and Unit Creation - Australia
ValueStream,1. Develop EaaS Product(s)
BusinessProcess,1. Draft Sales Targets - India
BusinessProcess,1. Establishment of Local Credit Committee - India
Product,1. Excellence Contract - UK
Product,1. Excellence Predict - Neitherlands & Belgium
ValueStream,1. Find Customers
ValueStream,1. Find the Customer
ValueStream,1. Identify
BusinessProcess,1. Local market submits pricing matrix to region finance team to seek approval from VFS HQ
BusinessProcess,1. LOS System Release - India
BusinessProcess,1. Market Study/Feedback - India
ValueStream,1. Mission: Driving prosperity through transport and infrastructure solution
BusinessProcess,1. Obtain Disbursal Request from Sales Team - India
BusinessProcess,1. Prepare Draft Base Rate Monthly Grid - India
BusinessProcess,1. Receive Application as an Item in LOS Workflow - India
BusinessProcess,1. Request POA(Power  Of Attorney)  Authorization (China)
BusinessProcess,1. User Role & Access Rights Request - India
Goal,1. Winning Aspiration (Focus)
BusinessProcess,1.00 Request for a New Quote
BusinessProcess,1.01 Create Quote
BusinessProcess,1.01 Customer Financial Request
BusinessProcess,1.01 Login VFS Truck Portal Place Equipment Order
BusinessProcess,1.02 Factory Get Email and Process Order
BusinessProcess,1.02 Identify Customer Data
BusinessProcess,1.02 Key in Customer Information into CRM System
BusinessProcess,1.03 Factory Delivery Unit to Dealer
BusinessProcess,1.03 Sales Recommendations
BusinessProcess,1.03 Verify Customer Data Based on RBA Parameters
BusinessProcess,1.04 Factory Send Tax Invoice to VFS
BusinessProcess,1.04 Internal Pricing Approval
BusinessProcess,1.04 Request Credit
BusinessProcess,1.05 Customer Initial Negotiation
BusinessProcess,1.05 Score the Customer (Credit Rating)
BusinessProcess,1.05 VFS Input Invoice to SouthPac
BusinessProcess,1.06 Calculation AML Risk Rating based on RBA
BusinessProcess,1.06 Unit Creation and Interest Rate Definition
BusinessProcess,1.07 Get Automated Credit Decision
BusinessProcess,1.07 VFS Pay Tax Invoice Amount to Truck Group
BusinessProcess,1.08 Customer Credit Request Approved
BusinessProcess,1.09 Contract Signed
Stakeholder,1.1 Customer
BusinessProcess,1.10 Activate Contract
BusinessProcess,1.11 Make Manual Underwriting (Credit Assessment)
Stakeholder,1.2 Team
Stakeholder,1.3 Shareholders
Goal,10 According to Agreed Conditions
BusinessProcess,10 Contract End Administration - Remarketing
Driver,10 Fleet Analysis
Requirement,10 Litigation
ValueStream,10 Payment Solutions
BusinessProcess,10 Send Screened UBOs and Guarantors into RBA Module
Outcome,10 Start Finance Contract
Principle,10. Maintainable Solutions
BusinessProcess,10.01 Safe Haven Selection from Existing Approved Pool or Recommended New Safe Haven
Requirement,10.01 User can generate legal documents
BusinessProcess,10.02 Safe Haven Selection and Approval
Requirement,10.02 User can input and check legal case log
BusinessProcess,10.03 Request and Coordinate Asset Inspection with Dealer
Requirement,10.03 User can upload agreements/dunning letter/payment record/judgment/verdict
BusinessProcess,10.04 Dealer Prepares the Asset Inspection for VAFC
Requirement,10.04 User can input legal cost
BusinessProcess,10.05 Review of Dealer Inspection
Requirement,10.05 User can view/search legal contracts and download the contracts list
BusinessProcess,10.06 (Optional) 3rd Party Asset Appraisal
Requirement,10.06 User can check the contract write off information
BusinessProcess,10.07 Asset to Invenotry & CMS System Update
BusinessProcess,10.08 Asset Posted to Remarketing Channels
BusinessProcess,10.09 Document Sale Results in System (CMS)
BusinessProcess,10.10 Review Contract Remarketing Sale Efforts
BusinessProcess,10.11 Sale Price & Write-Off Approval
BusinessProcess,10.12 Prepare Sale Documents & Collection Efforts from Purchaser
BusinessProcess,10.13 Receive Signed Sale Documents & Bank Wire Asset
BusinessProcess,10.14 Review & Collect Dealer Recourses (Currently 50% of Loss for All Recourse Transactions)
BusinessProcess,10.15 Bank Wire Funds from Dealer for Recourse
BusinessProcess,10.16 Advise Operation Team to Dispose
BusinessProcess,100 Entity Factors
Product,100% Uptime Guarantee
ApplicationComponent,100270_SUCAVE Software
